,period,future,node,Data,Regressor,Score,Params
131,60,7,dam_Nam Theun 2,Neighborhood,MLP,0.8612936182270292,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
132,60,7,dam_Nam Theun 2,Exclusive,Ridge,0.07086694683699746,{'alpha': 0}
133,60,7,dam_Nam Theun 2,Exclusive,SVR,-0.21651692466214656,"{'C': 15, 'kernel': 'rbf'}"
134,60,7,dam_Nam Theun 2,Exclusive,MLP,0.04798050130989451,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
135,60,7,rw_239,Self,Ridge,0.7141993188342362,{'alpha': 0}
136,60,7,rw_239,Self,SVR,0.7028035813623563,"{'C': 20, 'kernel': 'linear'}"
137,60,7,rw_239,Self,MLP,0.37725026721242483,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
138,60,7,rw_239,Neighborhood,Ridge,0.5470708263746675,{'alpha': 0}
139,60,7,rw_239,Neighborhood,SVR,-0.41984670553143655,"{'C': 15, 'kernel': 'rbf'}"
140,60,7,rw_239,Neighborhood,MLP,-0.5831038563100626,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
141,60,7,rw_239,Exclusive,Ridge,-0.20676444010306727,{'alpha': 0}
142,60,7,rw_239,Exclusive,SVR,-1.2059463772365415,"{'C': 20, 'kernel': 'rbf'}"
143,60,7,rw_239,Exclusive,MLP,-0.9988657791505859,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
144,60,7,dam_Nam Pung,Self,Ridge,0.8340125058847228,{'alpha': 0}
145,60,7,dam_Nam Pung,Self,SVR,0.8401137191012783,"{'C': 20, 'kernel': 'linear'}"
146,60,7,dam_Nam Pung,Self,MLP,0.8059564906439421,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
147,60,7,dam_Nam Pung,Neighborhood,Ridge,0.836067671663238,{'alpha': 0}
148,60,7,dam_Nam Pung,Neighborhood,SVR,0.8426362490779534,"{'C': 20, 'kernel': 'linear'}"
149,60,7,dam_Nam Pung,Neighborhood,MLP,0.7856708207456673,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
150,60,7,dam_Nam Pung,Exclusive,Ridge,0.18116491902757226,{'alpha': 0}
151,60,7,dam_Nam Pung,Exclusive,SVR,-2.2296479709340242,"{'C': 20, 'kernel': 'rbf'}"
152,60,7,dam_Nam Pung,Exclusive,MLP,-2.0065845945888263,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
153,60,7,dam_Ubol Ratana,Self,Ridge,0.8736124922214057,{'alpha': 0}
154,60,7,dam_Ubol Ratana,Self,SVR,0.8683603841080048,"{'C': 20, 'kernel': 'linear'}"
155,60,7,dam_Ubol Ratana,Self,MLP,0.7853702031792938,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
156,60,7,dam_Ubol Ratana,Neighborhood,Ridge,0.692176634426944,{'alpha': 0}
157,60,7,dam_Ubol Ratana,Neighborhood,SVR,0.7877674275786744,"{'C': 15, 'kernel': 'linear'}"
158,60,7,dam_Ubol Ratana,Neighborhood,MLP,-1.5115553312947747,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
159,60,7,dam_Ubol Ratana,Exclusive,Ridge,-3.7951555404819732,{'alpha': 0}
160,60,7,dam_Ubol Ratana,Exclusive,SVR,-4.2466857991309706,"{'C': 20, 'kernel': 'linear'}"
161,60,7,dam_Ubol Ratana,Exclusive,MLP,-1.1134213049173947,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
162,60,7,dam_Lam Pao,Self,Ridge,0.9574060301908609,{'alpha': 0}
163,60,7,dam_Lam Pao,Self,SVR,0.9584832649653618,"{'C': 20, 'kernel': 'linear'}"
164,60,7,dam_Lam Pao,Self,MLP,0.9196274705639995,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
165,60,7,dam_Lam Pao,Neighborhood,Ridge,0.9514267212492786,{'alpha': 0}
166,60,7,dam_Lam Pao,Neighborhood,SVR,0.9461007850854027,"{'C': 15, 'kernel': 'linear'}"
167,60,7,dam_Lam Pao,Neighborhood,MLP,0.7736651041741498,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
